imname,grade
cow_1++_4567.jpg,1++
cow_2_1390.jpg,2
cow_1++_2581.jpg,1++
cow_2_1689.jpg,2
cow_3_3287.jpg,3
cow_1+_1207.jpg,1+
cow_1+_4743.jpg,1+
cow_1++_5703.jpg,1++
cow_1+_5217.jpg,1+
cow_1_1271.jpg,1
cow_1_2873.jpg,1
cow_1++_2931.jpg,1++
cow_1++_2230.jpg,1++
cow_1++_5932.jpg,1++
cow_2_3259.jpg,2
cow_1+_2949.jpg,1+
cow_1+_3137.jpg,1+
cow_1+_5073.jpg,1+
cow_1_320.jpg,1
cow_1+_3220.jpg,1+
cow_3_3005.jpg,3
cow_1++_1478.jpg,1++
cow_1++_571.jpg,1++
cow_3_2287.jpg,3
cow_2_626.jpg,2
cow_1+_4440.jpg,1+
cow_1+_4626.jpg,1+
cow_3_1664.jpg,3
cow_1+_1421.jpg,1+
cow_2_2516.jpg,2
cow_1++_4306.jpg,1++
cow_1_3773.jpg,1
cow_3_3766.jpg,3
cow_1++_1948.jpg,1++
cow_1++_5043.jpg,1++
cow_2_2016.jpg,2
cow_1++_2615.jpg,1++
cow_1+_5428.jpg,1+
cow_1++_476.jpg,1++
cow_1+_2922.jpg,1+
cow_3_2107.jpg,3
cow_1+_1666.jpg,1+
cow_1+_862.jpg,1+
cow_2_76.jpg,2
cow_3_3767.jpg,3
cow_1_4664.jpg,1
cow_2_572.jpg,2
cow_1++_2917.jpg,1++
cow_1_1841.jpg,1
cow_1+_4835.jpg,1+
cow_3_3173.jpg,3
cow_1_3518.jpg,1
cow_1+_1140.jpg,1+
cow_1+_5936.jpg,1+
cow_1++_4902.jpg,1++
cow_2_1102.jpg,2
cow_3_3633.jpg,3
cow_1+_3523.jpg,1+
cow_1++_5338.jpg,1++
cow_2_5474.jpg,2
cow_2_5876.jpg,2
cow_1++_5096.jpg,1++
cow_1+_3389.jpg,1+
cow_3_1279.jpg,3
cow_2_5586.jpg,2
cow_1+_1488.jpg,1+
cow_1+_2868.jpg,1+
cow_2_5615.jpg,2
cow_1++_4350.jpg,1++
cow_1+_1633.jpg,1+
cow_3_2261.jpg,3
cow_2_3128.jpg,2
cow_2_2507.jpg,2
cow_1_2216.jpg,1
cow_1+_1220.jpg,1+
cow_2_2646.jpg,2
cow_1_3370.jpg,1
cow_1+_3193.jpg,1+
cow_1+_1931.jpg,1+
cow_1++_1514.jpg,1++
cow_1++_323.jpg,1++
cow_1_1782.jpg,1
cow_1++_5646.jpg,1++
cow_1++_3616.jpg,1++
cow_1+_2142.jpg,1+
cow_3_3799.jpg,3
cow_3_1649.jpg,3
cow_1_20.jpg,1
